name,date,text,Polarity,Subjectivity
CrystalErnst,2024-05-25T23:59:59.000Z,bitcoins longterm outlook remains bullish despite current selling pressure ahead of the halving hold tight,-0.08928571428571429,0.34285714285714286
TheBitcoinTroll,2024-05-25T23:59:57.000Z,i know i know kill your heroes i know i know he was wrong about the eth etfs i know i know its popular to hate on the guy right now but dammit listening to is still awesome his reference to hayeks quote about a sly roundabout way is spot on its the,0.11714285714285713,0.8471428571428572
RYO COIN,2024-05-25T23:59:52.000Z,,0.0,0.0
$Monkes,2024-05-25T23:59:39.000Z,the monkes airdrop open step follow step drop your sol wallet every wallet gets monkesthere will be many winners we promise wif bome ordi rats sats,0.25,0.5
Pepe'N,2024-05-25T23:59:38.000Z,why so threatened i buy my with gains from these memes,0.0,0.0
8bit,2024-05-25T23:59:38.000Z,making my own collectibles i call them the recursed my own piece of digital history hand drawn developed by me inscribed upon hand picked satoshis utilizing cross chain recursive communication digital artifacts on,0.21666666666666667,0.3833333333333333
Creation Myths,2024-05-25T23:59:36.000Z,it does no such thing the authors endorse an approach that synthesizes all three approaches they discuss i mean have you read it because it sure doesnt seem like it,0.0625,0.6921296296296297
Crypto Capital Social Club,2024-05-25T23:59:31.000Z,bitcoin etfs have bought k btc thats of all btc that will ever exist in four months,0.0,0.0
Jake Mense,2024-05-25T23:59:31.000Z,buy and hold,0.0,0.0
JC,2024-05-25T23:59:31.000Z,the way this election is bringing a lot of attention to crypto we will for sure rocket past k bitcoin,0.125,0.5694444444444444
∞/2.1QdrillionSats,2024-05-25T23:59:30.000Z,boating accident,0.0,0.0
MDB,2024-05-25T23:59:29.000Z,a lot of ufo guys think this farming what entertainment higher life form wouldnt have animalistic tendecies if they manage to create what we call planets they are as primitive as to look for entertainment nor any animal style dopamine dependency behaviors in my,0.25,0.5
Fractal Bitcoin,2024-05-25T23:59:29.000Z,new episode the bitcoin panel biggest news this week ep enjoy our bitcoin discussion subscribe now guests ac linkedin x player links show notes,0.2681818181818182,0.4772727272727273
Bitcoin_Future,2024-05-25T23:59:28.000Z,was sind das fr geisteskranke,0.0,0.0
Jupiter Price,2024-05-25T23:59:28.000Z,good morning how are you going the markets are all flat they stopped them from falling but i dont think its over oil gold bitcoin thats it right rates still high petrol still melb yep they are sure they are going to continue im waiting for the drop,0.3241428571428571,0.5379206349206349
jimmypage.eth | ٩.sol,2024-05-25T23:59:17.000Z,just bear in mind he asked mnuchin in his last term to ban bitcoin the guy is not some crypto savior although at this point he probably will be better than biden very low bar,0.16666666666666666,0.3188888888888889
BTC_POWER_LAW / PlanG,2024-05-25T23:59:16.000Z,yes understanding why bitcoin is a power law and what this implies is truly understanding bitcoin the universe and life itself it is a big deal,0.0,0.1
BOYFPILLED RIENDSMAXXER,2024-05-25T23:59:15.000Z,i need a sugar daddy my metamask trust wallet got hacked i need someone to write my essay need a logo need a banner need shrooms need this on a shirt my ps account got hacked findom i am suspended from twitter need artist emotes need a therapist my metamask got hacked bitcoin,0.0,0.0
gun nerd,2024-05-25T23:59:13.000Z,my son had a good set of lessons at the gun range yesterday everything from how the ar works tap racking bang to what a silencer sounds like its not quiet but it has lower db than unsilenced and theres an extra whizz,0.2333333333333333,0.3444444444444445
Open Jay,2024-05-25T23:59:11.000Z,i would rather have bitcoin than a bond ray dalio,0.0,0.0
Nickle Tipper,2024-05-25T23:59:09.000Z,another hour its may at am who is thinking about,0.0,0.0
Delia,2024-05-25T23:59:07.000Z,the ethereum spot etf was officially approved becoming another cryptocurrency fund product officially recognized by the us sec after bitcoin this is not only a glorious moment for ethereum the king of chains but also a major benefit for the encryption market,0.103125,0.7375
Black History 365,2024-05-25T23:59:04.000Z,irrelevant shes not the greatest ever and wasnt even the best shooter among her class not even in the top in fact she had the worse shooting of the st round draft picks she just shoots a lot,0.23333333333333336,0.6333333333333333
Gabriel,2024-05-25T23:59:04.000Z,ok i need friend to start going up i cant take this anymore every time i check price bad price can the devs please do something do whatever you have to do no matter how illegal,-0.23333333333333328,0.5555555555555555
Don,2024-05-25T23:59:03.000Z,any of my fellow patriots trade bitcoin,0.0,0.0
psycho therapists,2024-05-25T23:58:56.000Z,xanax mg bars oxys available,0.4,0.4
Tara ˙ᵕ˙ BITCOIN ˙ᵕ˙,2024-05-25T23:58:55.000Z,the buddha call it sensuality more broadly its basically that fantasy about finally having relief from the pressure of the senses that you never really get,0.115625,0.503125
Ellie,2024-05-25T23:58:53.000Z,profit this week so far join for updates btc eth doge bsw algo apt isk dar bb bonk uni ltc omni aave link pepe wif lina,0.35,1.0
τ,2024-05-25T23:58:52.000Z,bitcoin maxis need to be studied one day,0.0,0.0
whits,2024-05-25T23:58:51.000Z,bitcoin is your gas vehicle eth is your ev,0.0,0.0
RYO COIN,2024-05-25T23:58:47.000Z,l,0.0,0.0
Cedric Youngelman,2024-05-25T23:58:45.000Z,facts,0.0,0.0
Microsoft Steve,2024-05-25T23:58:44.000Z,in that case interest would either have to be paid in something else held as an iou until supply becomes available again or voided but youve simplified bitcoin too much that is never going to happen there will always be some amount on exchanges when the price xs,0.30000000000000004,0.30000000000000004
The Orca Sandwich,2024-05-25T23:58:37.000Z,i predict and barbecue will outlive all presidents,0.0,0.0
Dr Daniel Arthur Dopps,2024-05-25T23:58:31.000Z,bitcoin,0.0,0.0
OΞHi 80IQ/Hoppe,2024-05-25T23:58:22.000Z,he will flip the second he is elected and go after bitcoin and tries to ban it for his masters,-0.05,0.2
Neneng Delaine C,2024-05-25T23:58:14.000Z,kalau aku target pribadi bitcoin minimal,-0.1,0.6
Endre Stølsvik,2024-05-25T23:58:14.000Z,hear hear was thinking the exact same thing just yesterday doesnt this embrace pave the way for even more massive fuvkups like ftx etc el salvador has it right bitcoin only,0.1726190476190476,0.5684523809523809
Premium Crypto Signals,2024-05-25T23:58:13.000Z,wow that sounds like an incredible project its amazing to see the talent and creativity of young saudi singers shining through cant wait to hear the wonderful music theyve put together,0.54,0.8399999999999999
Creation Myths,2024-05-25T23:58:09.000Z,see youre just regurgitating the wrong stuff di said like a month ago i already addressed that please keep current with the ongoing conversation im having with them i literally addressed that exact point creationists are going to lie to you you dont have to take it,-0.08333333333333333,0.5166666666666667
Craig Schuman MD,2024-05-25T23:58:07.000Z,bitcoin to my cashapp account please popsstack,0.0,0.0
Uniquely.sats,2024-05-25T23:58:07.000Z,lmao thankfully i think were getting close to bringing back the old days but on bitcoin,0.2333333333333333,0.39999999999999997
Cryptozer,2024-05-25T23:57:58.000Z,bitcoin ka dolar ld m,0.0,0.0
LeniLiyana,2024-05-25T23:57:55.000Z,fios bitcoin pizza day campaign,0.0,0.0
Matteo,2024-05-25T23:57:49.000Z,im gay aids bitcoin and receding hairline im voting for joe rogain,0.4166666666666667,0.5833333333333334
高,2024-05-25T23:57:43.000Z,send bitcoin problem solved,0.0,0.0
Tara ˙ᵕ˙ BITCOIN ˙ᵕ˙,2024-05-25T23:57:43.000Z,non rational market play the chart and not the fundamentals,0.0,0.0
zemheri1,2024-05-25T23:57:41.000Z,bitcoins bull market is gaining momentum with progress so far whats your prediction for the next halving cycle,0.05,0.5
Eddie Schoening,2024-05-25T23:57:39.000Z,dogita stealth launched on bscstealth launchedyour next x gem locked lp liquidity locked for years website,0.0,0.0
Jeff Wif Hat,2024-05-25T23:57:38.000Z,this is why we bitcoin gonna need to buy some more,0.5,0.5
CAPBARA,2024-05-25T23:57:33.000Z,news donald trump is very positive and open minded to cryptocurrency companies,0.14772727272727273,0.6045454545454545
georgelin,2024-05-25T23:57:31.000Z,haha maybe aipacs secret power is just bitcoin,-0.1,0.5
FiatHawk,2024-05-25T23:57:29.000Z,people underestimate how savy trump is dont for a second think he cares about ross crypto or,0.0,0.0
Deyonté,2024-05-25T23:57:28.000Z,rather gift her in bitcoin over some red bottoms,0.0,0.0
BitcoinValueBot,2024-05-25T23:57:23.000Z,hachiko got the green light hachiko gonna take flight,0.1,0.5
Eddie Schoening,2024-05-25T23:57:39.000Z,dogita stealth launched on bscstealth launchedyour next x gem locked lp liquidity locked for years website,0.0,0.0
LeniLiyana,2024-05-25T23:57:55.000Z,fios bitcoin pizza day campaign,0.0,0.0
Matteo,2024-05-25T23:57:49.000Z,im gay aids bitcoin and receding hairline im voting for joe rogain,0.4166666666666667,0.5833333333333334
高,2024-05-25T23:57:43.000Z,send bitcoin problem solved,0.0,0.0
Tara ˙ᵕ˙ BITCOIN ˙ᵕ˙,2024-05-25T23:57:43.000Z,non rational market play the chart and not the fundamentals,0.0,0.0
zemheri1,2024-05-25T23:57:41.000Z,bitcoins bull market is gaining momentum with progress so far whats your prediction for the next halving cycle,0.05,0.5
Creation Myths,2024-05-25T23:58:09.000Z,see youre just regurgitating the wrong stuff di said like a month ago i already addressed that please keep current with the ongoing conversation im having with them i literally addressed that exact point creationists are going to lie to you you dont have to take it,-0.08333333333333333,0.5166666666666667
Craig Schuman MD,2024-05-25T23:58:07.000Z,bitcoin to my cashapp account please popsstack,0.0,0.0
Uniquely.sats,2024-05-25T23:58:07.000Z,lmao thankfully i think were getting close to bringing back the old days but on bitcoin,0.2333333333333333,0.39999999999999997
Cryptozer,2024-05-25T23:57:58.000Z,bitcoin ka dolar ld m,0.0,0.0
Neneng Delaine C,2024-05-25T23:58:14.000Z,kalau aku target pribadi bitcoin minimal,-0.1,0.6
Endre Stølsvik,2024-05-25T23:58:14.000Z,hear hear was thinking the exact same thing just yesterday doesnt this embrace pave the way for even more massive fuvkups like ftx etc el salvador has it right bitcoin only,0.1726190476190476,0.5684523809523809
Premium Crypto Signals,2024-05-25T23:58:13.000Z,wow that sounds like an incredible project its amazing to see the talent and creativity of young saudi singers shining through cant wait to hear the wonderful music theyve put together,0.54,0.8399999999999999
RYO COIN,2024-05-25T23:58:47.000Z,l,0.0,0.0
Cedric Youngelman,2024-05-25T23:58:45.000Z,facts,0.0,0.0
Microsoft Steve,2024-05-25T23:58:44.000Z,in that case interest would either have to be paid in something else held as an iou until supply becomes available again or voided but youve simplified bitcoin too much that is never going to happen there will always be some amount on exchanges when the price xs,0.30000000000000004,0.30000000000000004
The Orca Sandwich,2024-05-25T23:58:37.000Z,i predict and barbecue will outlive all presidents,0.0,0.0
Dr Daniel Arthur Dopps,2024-05-25T23:58:31.000Z,bitcoin,0.0,0.0
OΞHi 80IQ/Hoppe,2024-05-25T23:58:22.000Z,he will flip the second he is elected and go after bitcoin and tries to ban it for his masters,-0.05,0.2
psycho therapists,2024-05-25T23:58:56.000Z,xanax mg bars oxys available,0.4,0.4
Tara ˙ᵕ˙ BITCOIN ˙ᵕ˙,2024-05-25T23:58:55.000Z,the buddha call it sensuality more broadly its basically that fantasy about finally having relief from the pressure of the senses that you never really get,0.115625,0.503125
Ellie,2024-05-25T23:58:53.000Z,profit this week so far join for updates btc eth doge bsw algo apt isk dar bb bonk uni ltc omni aave link pepe wif lina,0.35,1.0
τ,2024-05-25T23:58:52.000Z,bitcoin maxis need to be studied one day,0.0,0.0
whits,2024-05-25T23:58:51.000Z,bitcoin is your gas vehicle eth is your ev,0.0,0.0
Don,2024-05-25T23:59:03.000Z,any of my fellow patriots trade bitcoin,0.0,0.0
BOYFPILLED RIENDSMAXXER,2024-05-25T23:59:15.000Z,i need a sugar daddy my metamask trust wallet got hacked i need someone to write my essay need a logo need a banner need shrooms need this on a shirt my ps account got hacked findom i am suspended from twitter need artist emotes need a therapist my metamask got hacked bitcoin,0.0,0.0
