name,date,text,Polarity,Subjectivity
Ethereum Lamp,2024-05-25T23:59:52.000Z,nice very good job,0.7549999999999999,0.8900000000000001
Delia,2024-05-25T23:59:07.000Z,the ethereum spot etf was officially approved becoming another cryptocurrency fund product officially recognized by the us sec after bitcoin this is not only a glorious moment for ethereum the king of chains but also a major benefit for the encryption market,0.103125,0.7375
Sandra Wilson,2024-05-25T23:58:58.000Z,exciting news etfs have been approved marking a significant milestone for the crypto market stay tuned for more developments,0.39166666666666666,0.725
Ellie,2024-05-25T23:58:53.000Z,profit this week so far join for updates btc eth doge bsw algo apt isk dar bb bonk uni ltc omni aave link pepe wif lina,0.35,1.0
Dogzcoin,2024-05-25T23:58:22.000Z,dogecoin only sidechain dogz after several years of efforts has slowly begun to take off trading platform ethereumcontract xaadaddbadef name dogz token symbol dogz,-0.10000000000000002,0.4666666666666666
Leon Roberts,2024-05-25T23:58:00.000Z,thinking about getting into but worried about security ethereum etf might be the perfect solution check out this article for more info ondo apt fort dcr dot mnt icp avax sol alt,0.7000000000000001,0.8333333333333334
Ethereum Yoda,2024-05-25T23:57:41.000Z,watch eth and hachiko fly high,0.48000000000000004,0.72
Dogzcoin,2024-05-25T23:58:22.000Z,dogecoin only sidechain dogz after several years of efforts has slowly begun to take off trading platform ethereumcontract xaadaddbadef name dogz token symbol dogz,-0.10000000000000002,0.4666666666666666
Satoshi's Throne,2024-05-25T23:57:37.000Z,gamestop and ethereum together they cannot be manipulated by the corrupt elite,-0.5,1.0
Ethereum Yoda,2024-05-25T23:57:33.000Z,eths future looking so bright hachiko in for a wild night,0.26666666666666666,0.44166666666666665
DBXEN,2024-05-25T23:57:14.000Z,try on ethereum dxn,0.0,0.0
Dogzcoin,2024-05-25T23:56:42.000Z,dogecoin only sidechain dogz after several years of efforts has slowly begun to take off trading platform ethereumcontract xaadaddbadef name dogz token symbol dogz,-0.10000000000000002,0.4666666666666666
Harlee,2024-05-25T23:56:33.000Z,profit this week so far join for updates btc eth doge trb rad paxg atm perp comp dar gmx fet dusk ren apt ltc doge saga,0.35,1.0
Jamjam,2024-05-25T23:56:26.000Z,requesting eth funds from the faucet on the ethereum holesky testnet blockchain request id fwmgapk,0.0,0.0
Jose JM,2024-05-25T23:55:37.000Z,alerta ethereum gran afluencia en exchanges y potencial desplome,0.0,0.0
Autism Capital,2024-05-25T23:55:21.000Z,were baffled weve got a bitcoin etf an ethereum etf wall street is buying our bags trump is allegedly going to pardon russ ulbricht according to tim pool if electedare we entering the and then you win stage are the promises actually coming true are we winning,0.31,0.4
Dogzcoin,2024-05-25T23:56:42.000Z,dogecoin only sidechain dogz after several years of efforts has slowly begun to take off trading platform ethereumcontract xaadaddbadef name dogz token symbol dogz,-0.10000000000000002,0.4666666666666666
Harlee,2024-05-25T23:56:33.000Z,profit this week so far join for updates btc eth doge trb rad paxg atm perp comp dar gmx fet dusk ren apt ltc doge saga,0.35,1.0
Ethereum Yoda,2024-05-25T23:57:33.000Z,eths future looking so bright hachiko in for a wild night,0.26666666666666666,0.44166666666666665
DBXEN,2024-05-25T23:57:14.000Z,try on ethereum dxn,0.0,0.0
Leon Roberts,2024-05-25T23:58:00.000Z,thinking about getting into but worried about security ethereum etf might be the perfect solution check out this article for more info ondo apt fort dcr dot mnt icp avax sol alt,0.7000000000000001,0.8333333333333334
Ethereum Yoda,2024-05-25T23:57:41.000Z,watch eth and hachiko fly high,0.48000000000000004,0.72
Satoshi's Throne,2024-05-25T23:57:37.000Z,gamestop and ethereum together they cannot be manipulated by the corrupt elite,-0.5,1.0
Dogzcoin,2024-05-25T23:58:22.000Z,dogecoin only sidechain dogz after several years of efforts has slowly begun to take off trading platform ethereumcontract xaadaddbadef name dogz token symbol dogz,-0.10000000000000002,0.4666666666666666
Ethereum Lamp,2024-05-25T23:59:52.000Z,nice very good job,0.7549999999999999,0.8900000000000001
Delia,2024-05-25T23:59:07.000Z,the ethereum spot etf was officially approved becoming another cryptocurrency fund product officially recognized by the us sec after bitcoin this is not only a glorious moment for ethereum the king of chains but also a major benefit for the encryption market,0.103125,0.7375
Sandra Wilson,2024-05-25T23:58:58.000Z,exciting news etfs have been approved marking a significant milestone for the crypto market stay tuned for more developments,0.39166666666666666,0.725
Ellie,2024-05-25T23:58:53.000Z,profit this week so far join for updates btc eth doge bsw algo apt isk dar bb bonk uni ltc omni aave link pepe wif lina,0.35,1.0
$Beardy w/ Beard,2024-05-20T23:59:57.000Z,beardy like clarissa the chart explains it all,0.0,0.0
Oleos Capital,2024-05-20T23:59:45.000Z,ethereum sube ms del y ya supera los eth,0.0,0.0
Da' G,2024-05-20T23:59:37.000Z,sell in may and go away they all said k daily candle for btc today is the nuts almost k daily candle for eth is pretty insane too this summer will be insane etf,-0.35,0.6
Kennytv.eth ✘| Base Voyage,2024-05-20T23:59:33.000Z,what is going on hearsay is spot eth etf approval,0.0,0.0
Wxtp_45,2024-05-20T23:59:25.000Z,ai art,0.0,0.0
Tw0st,2024-05-20T23:59:22.000Z,ethereum gas fees be like,0.0,0.0
Skyler,2024-05-20T23:59:14.000Z,will btc hit a new alltime high soon exciting times ahead join for updates eth fun ctsi lpt reth unfi pendle ena gala near manta ftm glmr shib theta,0.1992727272727273,0.4789090909090909
Kennytv.eth ✘| Base Voyage,2024-05-20T23:59:33.000Z,what is going on hearsay is spot eth etf approval,0.0,0.0
$Beardy w/ Beard,2024-05-20T23:59:57.000Z,beardy like clarissa the chart explains it all,0.0,0.0
Oleos Capital,2024-05-20T23:59:45.000Z,ethereum sube ms del y ya supera los eth,0.0,0.0
Da' G,2024-05-20T23:59:37.000Z,sell in may and go away they all said k daily candle for btc today is the nuts almost k daily candle for eth is pretty insane too this summer will be insane etf,-0.35,0.6
Wxtp_45,2024-05-20T23:59:25.000Z,ai art,0.0,0.0
Tw0st,2024-05-20T23:59:22.000Z,ethereum gas fees be like,0.0,0.0
Skyler,2024-05-20T23:59:14.000Z,will btc hit a new alltime high soon exciting times ahead join for updates eth fun ctsi lpt reth unfi pendle ena gala near manta ftm glmr shib theta,0.1992727272727273,0.4789090909090909
Emma,2024-05-20T23:59:09.000Z,leslie is ethereums only child,0.0,1.0
Łɪᴛᴏꜱʜɪʟɪᴛᴇ ( Łɪᴛᴏ ),2024-05-20T23:59:08.000Z,woke up with green,-0.2,0.3
Dexx,2024-05-20T23:58:59.000Z,knows eth beta is a meme there is only one ethereum at the end of the day it all flows back to the king eth is where the etf flows are not the beta that has vc unlocks team allos and all the other baggage,-0.041666666666666664,0.4583333333333333
IBIT,2024-05-20T23:58:39.000Z,gm ae hm nay thc dy t nhin cm thy thi tit tht p mi ngi xung quanh ai cng d mn bao lu ri ae k c cm gic ny nh cng lu lm r y nhn eth tng gn ka,0.0,0.0
CryptoPunks Bot,2024-05-20T23:58:35.000Z,punk bought for eth usd by xdb from xfcc,0.0,0.0
Crypto Trading DE,2024-05-20T23:58:33.000Z,letzte chance ethereum zu kaufen bevor die big player kommen,0.0,0.1
CWTrades02,2024-05-20T23:58:31.000Z,eth h transparency as you can see with the portfolio amount and the open pnl right next to you,0.09523809523809523,0.3452380952380952
Justin Thomason S5,2024-05-20T23:58:28.000Z,its funny to me to see a near candle on ethereum on the etf approval increasing in probability based on the observation of one person,0.175,0.7
Bamboo /,2024-05-20T23:58:17.000Z,ethereum etf,0.0,0.0
TheCryptoKid,2024-05-20T23:58:07.000Z,top ceo bets on a shock biden crypto flip as congress hurtles toward a crucial vote that could blow up the price of bitcoin ethereum and xrp,0.25,0.75
mo26.eth,2024-05-20T23:58:05.000Z,now what,0.0,0.0
糖糖.ola,2024-05-20T23:57:59.000Z,zkvm,0.0,0.0
BecauseBitcoin.com,2024-05-20T23:57:53.000Z,list of all spot etfs entrants eth ethe arke,0.0,0.0
SARA(NFT),2024-05-20T23:57:48.000Z,aggressive hellhoundstake a tour you might like one aggressive hellhounds is an online art show and the art nfts on ethereum featuring unique series st,0.375,1.0
Samira,2024-05-20T23:57:45.000Z,profit this week so far join for updates eth enj bnb aave bst glmr not tao ray ethfi sui vic rndr near ocean ena,0.1,0.7
