name,date,text,Polarity,Subjectivity
T-mac,2024-05-25T23:59:59.000Z,near aurora,0.1,0.4
至高のこんそめ,2024-05-25T23:59:59.000Z,,0.0,0.0
Storm Chaser Je☈emy,2024-05-25T23:59:57.000Z,wall cloud form near kiowa kansas,0.1,0.4
In Mybagorean Theorem,2024-05-25T23:59:56.000Z,its near houston,0.1,0.4
Swartz,2024-05-25T23:59:37.000Z,awww jealous my momma lives nowhere near here,0.25,0.65
SC,2024-05-25T23:59:32.000Z,ive defended him long enough but james tavenier should never kick a ball for us again need the bodies like him and goldson clear of that dressing room balogun and davies not got near that team all season and played better than any cb weve put in ahead of them,0.13,0.43666666666666665
USTFCCCA,2024-05-25T23:59:30.000Z,nearmiss for ole miss mckenzie long of clocks in quarterfinal of the at the di east first round thats just off the meet record by favour ofili of in as well as her own worldleading set weeks ago,0.15,0.5333333333333333
ArtsCulture,2024-05-25T23:59:29.000Z,au contraire happy to have nuclear power right near the city and let rural and seaside australians keep their landscapes and ocean outlook,0.2964285714285715,0.4839285714285714
Lee Stevenson,2024-05-25T23:59:29.000Z,bible warned of things like this in the last days but it is a good sign it means jesus is about to return and set matters straight and all those promoting these things will be destroyed so we are to raise ourselves up better times are near,0.3,0.39333333333333337
jess !!,2024-05-25T23:59:27.000Z,if this isnt near me ill cry,-0.2,0.7
HollisD,2024-05-25T23:59:22.000Z,ft here in the us so the cyclist ride as close to the whitefog line on the right as possible and they wobble a lot so motorist tend to go over the center line to avoid the cyclist ive had some near miss head on collisions from motorist avoiding cyclist,0.07142857142857142,0.5089285714285714
MSHP Troop F,2024-05-25T23:59:12.000Z,busted wearing a life jacket that is trooper keith kaiser spotted these little ones near the osage tavern access on the osage river since they were sporting life jackets they earned a free shirt thanks mom and dad for making safety a top priority for these two,0.20249999999999999,0.4800000000000001
Kore Virus,2024-05-25T23:59:10.000Z,to explain again its a repentatation to what they want to achieve for art style and look and subject to change in other words its very early a look of a game is near the end of its cycle,-0.09233333333333334,0.3796666666666666
Ryan Hays,2024-05-25T23:59:08.000Z,brief tornado near mutual oklahoma,0.05,0.3666666666666667
DMcCue,2024-05-25T23:59:07.000Z,no none wants apartments near them,0.15000000000000002,0.25
The Wagon Watcher,2024-05-25T23:59:02.000Z,if you think wb hulk is anywhere near broly in power youre tweaking,0.1,0.4
V,2024-05-25T23:59:02.000Z,this sounds so tragically epic like the end of the world dawns near and all fate rests in your hands,0.1,0.4
| T3M3R1 ! | /takeover,2024-05-25T23:59:00.000Z,little children near and far dont know where your parents are cry directly in this jar i will drink it at the bar sipsippin on orphan tears sipsipsippin on orphan tears sipsippin on sipsipsippin on ereyerey sippin on orphan tears lyrs,0.028125000000000004,0.575
DonTiburón,2024-05-25T23:58:57.000Z,fuck i am full agree with pavvy g the end is near,0.016666666666666653,0.5166666666666666
"Slanderman, Corrupting-the-Constructive",2024-05-25T23:58:56.000Z,i believe at a higher tech level you would have adaptive roots covering everything to transport energy much more efficiently but what need is there for terrestrial battles at that tech level but this is supposed to be nearfuture,0.25,0.3666666666666667
Layla Stewart,2024-05-25T23:58:56.000Z,the government recommended dosage of fentanyl in a medical setting is to mcg ivim george floyd finding mcg in his system is no where near overdose territory its minuscule not even close thats a fact,0.05,0.2
Steve,2024-05-25T23:58:54.000Z,one of these days plan a trip near them and visit and show her how adults act,0.1,0.4
Stillwater,2024-05-25T23:58:53.000Z,denver beats them if mpj jamal etc are anywhere near their normal percentages wolves beat dallas in games and if ant and kat shoot their normal percentages,0.13333333333333333,0.5666666666666665
Thomas Smithers,2024-05-25T23:58:53.000Z,bro whyd you show whiplash thats nowhere near a motivational movie lmfao,0.1,0.4
